Notes,Race,Race Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,25-34 years,25-34,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,35-44 years,35-44,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,45-54 years,45-54,Female,F,21,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,45-54 years,45-54,Male,M,37,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,55-64 years,55-64,Female,F,44,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,55-64 years,55-64,Male,M,48,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,65-74 years,65-74,Female,F,67,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,65-74 years,65-74,Male,M,47,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,75-84 years,75-84,Female,F,74,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,75-84 years,75-84,Male,M,61,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,85+ years,85+,Female,F,84,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,85+ years,85+,Male,M,30,Not Applicable,Not Applicable
,Black or African American,2054-5,Chronic viral hepatitis C,B18.2,45-54 years,45-54,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Chronic viral hepatitis C,B18.2,55-64 years,55-64,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other specified conditions,B23.8,35-44 years,35-44,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other specified conditions,B23.8,45-54 years,45-54,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified human immunodeficiency virus [HIV] disease,B24,45-54 years,45-54,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Oesophagus, unspecified - Malignant neoplasms",C15.9,55-64 years,55-64,Male,M,13,Not Applicable,Not Applicable
